[15:22:35] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:22:37] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:22:37] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:22:37] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:22:37] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:22:37] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:22:37] [main/INFO]: Reloading ResourceManager: Default
[15:22:40] [Worker-Main-4/INFO]: Loaded 7 recipes
[15:22:42] [Worker-Main-4/INFO]: Loaded 1137 advancements
[15:22:47] [Server thread/INFO]: Starting minecraft server version 1.17.1
[15:22:47] [Server thread/INFO]: Loading properties
[15:22:47] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:271) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:297) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:339) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:178) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:161) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at aas$1.run(SourceFile:101) [server.jar:?]
[15:22:47] [Server thread/INFO]: Default game type: SURVIVAL
[15:22:47] [Server thread/INFO]: Generating keypair
[15:22:47] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:22:47] [Server thread/INFO]: Using default channel type
[15:22:51] [Server thread/INFO]: Preparing level "world"
[15:22:51] [Server thread/WARN]: Unable to find spawn biome
[15:23:03] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:23:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[15:23:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[15:23:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[15:23:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[15:23:05] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:23:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[15:23:06] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:23:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[15:23:07] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:23:08] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[15:23:08] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[15:23:09] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[15:23:10] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[15:23:10] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[15:23:10] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[15:23:11] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[15:23:11] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[15:23:12] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[15:23:12] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[15:23:13] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[15:23:13] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[15:23:14] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[15:23:14] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[15:23:15] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[15:23:15] [Worker-Main-4/INFO]: Preparing spawn area: 2%
[15:23:16] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[15:23:16] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[15:23:17] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[15:23:17] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[15:23:18] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[15:23:18] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[15:23:19] [Worker-Main-4/INFO]: Preparing spawn area: 4%
[15:23:19] [Worker-Main-4/INFO]: Preparing spawn area: 6%
[15:23:20] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[15:23:20] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[15:23:21] [Worker-Main-4/INFO]: Preparing spawn area: 6%
[15:23:21] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[15:23:22] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[15:23:22] [Worker-Main-4/INFO]: Preparing spawn area: 9%
[15:23:23] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[15:23:23] [Worker-Main-4/INFO]: Preparing spawn area: 9%
[15:23:24] [Worker-Main-5/INFO]: Preparing spawn area: 9%
[15:23:24] [Worker-Main-4/INFO]: Preparing spawn area: 9%
[15:23:25] [Worker-Main-4/INFO]: Preparing spawn area: 9%
[15:23:25] [Worker-Main-4/INFO]: Preparing spawn area: 9%
[15:23:26] [Worker-Main-6/INFO]: Preparing spawn area: 13%
[15:23:26] [Worker-Main-5/INFO]: Preparing spawn area: 13%
[15:23:27] [Worker-Main-5/INFO]: Preparing spawn area: 13%
[15:23:27] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[15:23:28] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:28] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:29] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:29] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:30] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:30] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:31] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[15:23:31] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[15:23:32] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[15:23:32] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[15:23:33] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[15:23:33] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[15:23:34] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[15:23:34] [Worker-Main-6/INFO]: Preparing spawn area: 24%
[15:23:35] [Worker-Main-4/INFO]: Preparing spawn area: 28%
[15:23:35] [Worker-Main-4/INFO]: Preparing spawn area: 28%
[15:23:36] [Worker-Main-4/INFO]: Preparing spawn area: 28%
[15:23:36] [Worker-Main-4/INFO]: Preparing spawn area: 28%
[15:23:37] [Worker-Main-6/INFO]: Preparing spawn area: 28%
[15:23:37] [Worker-Main-6/INFO]: Preparing spawn area: 28%
[15:23:39] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[15:23:39] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[15:23:39] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[15:23:39] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[15:23:43] [Worker-Main-6/INFO]: Preparing spawn area: 36%
[15:23:43] [Worker-Main-6/INFO]: Preparing spawn area: 36%
[15:23:43] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[15:23:43] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[15:23:43] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[15:23:43] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[15:23:43] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[15:23:45] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[15:23:45] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[15:23:45] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[15:23:45] [Worker-Main-6/INFO]: Preparing spawn area: 44%
[15:23:45] [Worker-Main-6/INFO]: Preparing spawn area: 46%
[15:23:46] [Worker-Main-6/INFO]: Preparing spawn area: 48%
[15:23:48] [Worker-Main-6/INFO]: Preparing spawn area: 50%
[15:23:48] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[15:23:48] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[15:23:48] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[15:23:49] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[15:23:49] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[15:23:50] [Worker-Main-6/INFO]: Preparing spawn area: 56%
[15:23:50] [Worker-Main-4/INFO]: Preparing spawn area: 56%
[15:23:50] [Worker-Main-4/INFO]: Preparing spawn area: 56%
[15:23:51] [Worker-Main-5/INFO]: Preparing spawn area: 60%
[15:23:54] [Worker-Main-4/INFO]: Preparing spawn area: 63%
[15:23:54] [Worker-Main-5/INFO]: Preparing spawn area: 63%
[15:23:54] [Worker-Main-5/INFO]: Preparing spawn area: 63%
[15:23:54] [Worker-Main-5/INFO]: Preparing spawn area: 63%
[15:23:54] [Worker-Main-5/INFO]: Preparing spawn area: 63%
[15:23:54] [Worker-Main-5/INFO]: Preparing spawn area: 63%
[15:23:54] [Worker-Main-5/INFO]: Preparing spawn area: 70%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:23:58] [Worker-Main-5/INFO]: Preparing spawn area: 71%
[15:24:00] [Worker-Main-6/INFO]: Preparing spawn area: 81%
[15:24:00] [Worker-Main-4/INFO]: Preparing spawn area: 81%
[15:24:00] [Worker-Main-4/INFO]: Preparing spawn area: 81%
[15:24:00] [Worker-Main-4/INFO]: Preparing spawn area: 81%
[15:24:01] [Worker-Main-5/INFO]: Preparing spawn area: 85%
[15:24:01] [Worker-Main-5/INFO]: Preparing spawn area: 85%
[15:24:01] [Worker-Main-5/INFO]: Preparing spawn area: 85%
[15:24:05] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-4/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-4/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-5/INFO]: Preparing spawn area: 89%
[15:24:05] [Worker-Main-4/INFO]: Preparing spawn area: 89%
[15:24:05] [Server thread/INFO]: Time elapsed: 62297 ms
[15:24:05] [Server thread/INFO]: Done (74.887s)! For help, type "help"
[15:24:08] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2131ms or 42 ticks behind
[15:24:49] [Server thread/INFO]: Stopping server
[15:24:49] [Server thread/INFO]: Saving players
[15:24:49] [Server thread/INFO]: Saving worlds
[15:24:49] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[15:24:52] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[15:24:52] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[15:24:52] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[15:24:52] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:24:52] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[15:24:52] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
